Name,Original_price,Offer,Final_price,Distance,Rating,Number of Rating,Summary
CAPITAL O69718 Sunny Stays,₹2712,40% off,₹1627,1.4 km,4.6 ,(78 Ratings),Excellent
Capital O 49646 Hotel Champion Paradise,₹2472,40% off,₹1483,1.7 km,4.3 ,(1468 Ratings),Very Good
OYO Townhouse 273 Hosur Main Road Bommanahalli,₹3002,40% off,₹1801,2.5 km,4.6 ,(964 Ratings),Excellent
Collection O 49703 Vaishnavi Residency,₹2625,40% off,₹1575,4.2 km,4.5 ,(1716 Ratings),Excellent
OYO 13941 Hotel Turista,₹2266,40% off,₹1360,1.4 km,4.1 ,(814 Ratings),Very Good
Capital O 36457 Boulevard Madiwala,₹2903,40% off,₹1742,2.2 km,4.2 ,(4012 Ratings),Very Good
OYO 47143 Designer 1BHK Apollo Hospital,₹1690,40% off,₹1014,0.9 km,4.3 ,(467 Ratings),Very Good
Capital O 14273 Inn@Silicon Valley,₹2557,40% off,₹1534,2.1 km,4.1 ,(1244 Ratings),Very Good
OYO 11915 Varcity Park,₹2198,40% off,₹1319,2.3 km,4.1 ,(915 Ratings),Very Good
Capital O 62009 Metrovista,₹2626,40% off,₹1576,2.4 km,4.7 ,(1214 Ratings),Excellent
OYO 11916 Varcity Plaza,₹2223,40% off,₹1323,1.9 km,4.1 ,(589 Ratings),Very Good
OYO 14397 Varcity Phi Pavilion,₹2026,40% off,₹1216,2.0 km,4.2 ,(1000 Ratings),Very Good
Capital O 5381 The Emirates Hotel Deluxe,₹2218,40% off,₹1331,2.1 km,4.5 ,(2312 Ratings),Excellent
OYO Home 61518 Exotic Stay Bg Road,₹2392,40% off,₹1435,2.6 km,4.6 ,(960 Ratings),Excellent
OYO 10525 Varcity Abra Madiwala,₹2422,40% off,₹1453,2.2 km,4.4 ,(560 Ratings),Very Good
Capital O 62949 Regal Suites,₹2391,40% off,₹1435,2.5 km,4.3 ,(1881 Ratings),Very Good
OYO 47142 Luxurious Stay Apollo Hospital,₹2277,40% off,₹1366,0.9 km,4.4 ,(1242 Ratings),Very Good
OYO 16514 Ivory Pearl,₹2237,40% off,₹1342,2.1 km,4.3 ,(549 Ratings),Very Good
Capital O 5683 SS Suites,₹2647,40% off,₹1588,1.4 km,4.2 ,(1488 Ratings),Very Good
OYO 15111 Greencity Comforts,₹1646,40% off,₹988,2.0 km,3.0 ,(240 Ratings),Fair
CAPITAL O69718 Sunny Stays,₹2712,40% off,₹1627,1.4 km,4.6 ,(78 Ratings),Excellent
Capital O 49646 Hotel Champion Paradise,₹2472,40% off,₹1483,1.7 km,4.3 ,(1468 Ratings),Very Good
OYO Townhouse 273 Hosur Main Road Bommanahalli,₹3002,40% off,₹1801,2.5 km,4.6 ,(964 Ratings),Excellent
Collection O 49703 Vaishnavi Residency,₹2625,40% off,₹1575,4.2 km,4.5 ,(1716 Ratings),Excellent
OYO 13941 Hotel Turista,₹2266,40% off,₹1360,1.4 km,4.1 ,(814 Ratings),Very Good
Capital O 36457 Boulevard Madiwala,₹2903,40% off,₹1742,2.2 km,4.2 ,(4012 Ratings),Very Good
OYO 47143 Designer 1BHK Apollo Hospital,₹1690,40% off,₹1014,0.9 km,4.3 ,(467 Ratings),Very Good
Capital O 14273 Inn@Silicon Valley,₹2557,40% off,₹1534,2.1 km,4.1 ,(1244 Ratings),Very Good
OYO 11915 Varcity Park,₹2198,40% off,₹1319,2.3 km,4.1 ,(915 Ratings),Very Good
