Name,Original_price,Offer,Final_price,Distance,Rating,Number_of_Rating,Summary,Location,City
OYO 22085 Raj Banjara White House,2459.0,32.0,1677.0,1.7,4.4,201.0,Very Good,Banjara Hills,Hyderabad
Collection O 42514 Venkat Nagar,3158.0,32.0,2153.0,1.6,4.4,879.0,Very Good,Banjara Hills,Hyderabad
Capital O 44354 Jubilee Banjara Suites,1778.0,32.0,1213.0,1.1,4.4,1258.0,Very Good,Banjara Hills,Hyderabad
OYO 35487 Hotel Meena Grand,2090.0,32.0,1425.0,4.0,4.0,575.0,Very Good,Banjara Hills,Hyderabad
OYO 16018 Rainbow Saphire,2607.0,32.0,1777.0,4.6,4.7,978.0,Excellent,Banjara Hills,Hyderabad
Collection O 46198 New Sree Krishna,3964.0,32.0,2703.0,6.1,3.9,989.0,Good,Banjara Hills,Hyderabad
OYO 14224 Happy Guest house,2373.0,32.0,1618.0,1.8,4.6,448.0,Excellent,Banjara Hills,Hyderabad
OYO 62547 Dream Connect Stays,1941.0,32.0,1324.0,0.6,4.3,267.0,Very Good,Banjara Hills,Hyderabad
OYO 11376 Golden Park,2205.0,45.0,1212.0,5.3,4.4,1570.0,Very Good,Banjara Hills,Hyderabad
OYO 11316 Athithi Inn,2178.0,38.0,1348.0,4.8,3.3,697.0,Fair,Banjara Hills,Hyderabad
OYO 10272 Hotel Ruma,1777.0,32.0,1212.0,4.2,4.2,488.0,Very Good,Banjara Hills,Hyderabad
OYO 18725 Sr Grand,1910.0,32.0,1303.0,3.3,4.4,294.0,Very Good,Banjara Hills,Hyderabad
OYO 18302 Pride Banjara,2260.0,32.0,1541.0,1.1,0.0,0.0,Yet to be summarised,Banjara Hills,Hyderabad
OYO 983 Hotel Surya Residency,2811.0,32.0,1917.0,3.2,4.2,264.0,Very Good,Banjara Hills,Hyderabad
Capital O 46832 Gaayatri Residency Deluxe,2098.0,32.0,1431.0,4.1,4.8,644.0,Excellent,Banjara Hills,Hyderabad
OYO 4025 Hotel Meredian Orchid,1865.0,35.0,1212.0,2.7,4.1,558.0,Very Good,Banjara Hills,Hyderabad
OYO Townhouse 045 Lakdi ka Pul,5129.0,32.0,3497.0,4.4,4.3,1934.0,Very Good,Banjara Hills,Hyderabad
OYO 41751 Hotel Sabharwal,1416.0,32.0,966.0,7.2,4.2,786.0,Very Good,Banjara Hills,Hyderabad
OYO 47332 Hotel Dolphin,2509.0,32.0,1711.0,4.2,4.4,279.0,Very Good,Banjara Hills,Hyderabad
OYO 30744 The  Gate,2140.0,32.0,1459.0,3.4,4.3,440.0,Very Good,Banjara Hills,Hyderabad
OYO 37906 New Asian Lodge,2420.0,32.0,1650.0,4.0,3.2,349.0,Fair,Banjara Hills,Hyderabad
OYO 26562 Dazzle Stays,1730.0,42.0,1010.0,6.7,3.9,371.0,Good,Banjara Hills,Hyderabad
SilverKey Executive Stays 27773 IAS Colony,1639.0,40.0,991.0,2.9,3.8,2195.0,Good,Banjara Hills,Hyderabad
OYO 1410 Country Club Begumpet,4417.0,32.0,3012.0,5.9,3.6,366.0,Good,Banjara Hills,Hyderabad
OYO 22907 Hotel Holiday Deluxe,2407.0,32.0,1642.0,5.9,4.5,393.0,Excellent,Banjara Hills,Hyderabad
OYO 47727 S Grand,1427.0,32.0,973.0,4.6,4.4,360.0,Very Good,Banjara Hills,Hyderabad
