Name,Original_price,Offer,Final_price,Distance,Rating,Number of Rating,Summary,Location,City
OYO 22085 Raj Banjara White House,₹2459,32% off,₹1677,1.7 km,4.4,(201 Ratings),Very Good,Banjara Hills,Hyderabad
Collection O 42514 Venkat Nagar,₹3158,32% off,₹2153,1.6 km,4.4,(879 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 44354 Jubilee Banjara Suites,₹1778,32% off,₹1213,1.1 km,4.4,(1258 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 35487 Hotel Meena Grand,₹2090,32% off,₹1425,4.0 km,4,(575 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 16018 Rainbow Saphire,₹2607,32% off,₹1777,4.6 km,4.7,(978 Ratings),Excellent,Banjara Hills,Hyderabad
Collection O 46198 New Sree Krishna,₹3964,32% off,₹2703,6.1 km,3.9,(989 Ratings),Good,Banjara Hills,Hyderabad
OYO 14224 Happy Guest house,₹2373,32% off,₹1618,1.8 km,4.6,(448 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 62547 Dream Connect Stays,₹1941,32% off,₹1324,0.6 km,4.3,(267 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 11376 Golden Park,₹2205,45% off,₹1212,5.3 km,4.4,(1570 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 11316 Athithi Inn,₹2178,38% off,₹1348,4.8 km,3.3,(697 Ratings),Fair,Banjara Hills,Hyderabad
OYO 10272 Hotel Ruma,₹1777,32% off,₹1212,4.2 km,4.2,(488 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 18725 Sr Grand,₹1910,32% off,₹1303,3.3 km,4.4,(294 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 18302 Pride Banjara,₹2260,32% off,₹1541,1.1 km,NEW,,,Banjara Hills,Hyderabad
OYO 983 Hotel Surya Residency,₹2811,32% off,₹1917,3.2 km,4.2,(264 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 46832 Gaayatri Residency Deluxe,₹2098,32% off,₹1431,4.1 km,4.8,(644 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 4025 Hotel Meredian Orchid,₹1865,35% off,₹1212,2.7 km,4.1,(558 Ratings),Very Good,Banjara Hills,Hyderabad
OYO Townhouse 045 Lakdi ka Pul,₹5129,32% off,₹3497,4.4 km,4.3,(1934 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 41751 Hotel Sabharwal,₹1416,32% off,₹966,7.2 km,4.2,(786 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 47332 Hotel Dolphin,₹2509,32% off,₹1711,4.2 km,4.4,(279 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 30744 The  Gate,₹2140,32% off,₹1459,3.4 km,4.3,(440 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 22085 Raj Banjara White House,₹2459,32% off,₹1677,1.7 km,4.4,(201 Ratings),Very Good,Banjara Hills,Hyderabad
Collection O 42514 Venkat Nagar,₹3158,32% off,₹2153,1.6 km,4.4,(879 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 44354 Jubilee Banjara Suites,₹1778,32% off,₹1213,1.1 km,4.4,(1258 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 35487 Hotel Meena Grand,₹2090,32% off,₹1425,4.0 km,4,(575 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 16018 Rainbow Saphire,₹2607,32% off,₹1777,4.6 km,4.7,(978 Ratings),Excellent,Banjara Hills,Hyderabad
Collection O 46198 New Sree Krishna,₹3964,32% off,₹2703,6.1 km,3.9,(989 Ratings),Good,Banjara Hills,Hyderabad
OYO 14224 Happy Guest house,₹2373,32% off,₹1618,1.8 km,4.6,(448 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 62547 Dream Connect Stays,₹1941,32% off,₹1324,0.6 km,4.3,(267 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 11376 Golden Park,₹2205,45% off,₹1212,5.3 km,4.4,(1570 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 11316 Athithi Inn,₹2178,38% off,₹1348,4.8 km,3.3,(697 Ratings),Fair,Banjara Hills,Hyderabad
OYO 10272 Hotel Ruma,₹1777,32% off,₹1212,4.2 km,4.2,(488 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 18725 Sr Grand,₹1910,32% off,₹1303,3.3 km,4.4,(294 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 18302 Pride Banjara,₹2260,32% off,₹1541,1.1 km,NEW,,,Banjara Hills,Hyderabad
OYO 983 Hotel Surya Residency,₹2811,32% off,₹1917,3.2 km,4.2,(264 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 46832 Gaayatri Residency Deluxe,₹2098,32% off,₹1431,4.1 km,4.8,(644 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 4025 Hotel Meredian Orchid,₹1865,35% off,₹1212,2.7 km,4.1,(558 Ratings),Very Good,Banjara Hills,Hyderabad
OYO Townhouse 045 Lakdi ka Pul,₹5129,32% off,₹3497,4.4 km,4.3,(1934 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 41751 Hotel Sabharwal,₹1416,32% off,₹966,7.2 km,4.2,(786 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 47332 Hotel Dolphin,₹2509,32% off,₹1711,4.2 km,4.4,(279 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 30744 The  Gate,₹2140,32% off,₹1459,3.4 km,4.3,(440 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 37906 New Asian Lodge,₹2420,32% off,₹1650,4.0 km,3.2,(349 Ratings),Fair,Banjara Hills,Hyderabad
OYO 26562 Dazzle Stays,₹1730,42% off,₹1010,6.7 km,3.9,(371 Ratings),Good,Banjara Hills,Hyderabad
SilverKey Executive Stays 27773 IAS Colony,₹1639,40% off,₹991,2.9 km,3.8,(2195 Ratings),Good,Banjara Hills,Hyderabad
OYO 1410 Country Club Begumpet,₹4417,32% off,₹3012,5.9 km,3.6,(366 Ratings),Good,Banjara Hills,Hyderabad
OYO 22907 Hotel Holiday Deluxe,₹2407,32% off,₹1642,5.9 km,4.5,(393 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 47727 S Grand,₹1427,32% off,₹973,4.6 km,4.4,(360 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 6422 Luxor Park,₹2737,32% off,₹1867,7.1 km,4.5,(1914 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 9302 Hotel Baseraa Inn,₹2081,32% off,₹1419,6.8 km,4.5,(170 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 8941 Hotel Golden Leaves,₹2449,32% off,₹1670,6.7 km,4.4,(728 Ratings),Very Good,Banjara Hills,Hyderabad
OYO Flagship 14348 Apollo Hospital,₹2746,44% off,₹1525,3.6 km,4.3,(1422 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 11919 Dock Inn,₹2225,32% off,₹1517,7.9 km,4.3,(98 Ratings),Very Good,Banjara Hills,Hyderabad
Capital O 35958 Hotel Lake View Deluxe,₹2030,32% off,₹1384,4.5 km,4,(3011 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 18454 Hallmark Inn Begumpet,₹2390,58% off,₹1010,6.5 km,4.7,(239 Ratings),Excellent,Banjara Hills,Hyderabad
Collection O 401 Yosufguda Ameerpet,₹2310,32% off,₹1575,3.9 km,3.9,(3161 Ratings),Good,Banjara Hills,Hyderabad
OYO 16061 Hotel Holly Hock,₹2601,32% off,₹1774,5.5 km,4.6,(716 Ratings),Excellent,Banjara Hills,Hyderabad
OYO 2840 Kanha Grand,₹1481,32% off,₹1010,4.2 km,4.1,(542 Ratings),Very Good,Banjara Hills,Hyderabad
OYO 13746 Mint Leaves Deluxe,₹2492,32% off,₹1699,4.2 km,4,(494 Ratings),Very Good,Banjara Hills,Hyderabad
